movie_reviews,,,,,,,,,,,movie_name,,,,label
Extremely well-done!,,,,,,,,,,,littlemankazoo,,,,1
Best Yet of the "Computer-Screen" Movies,,,,,,,,,,,Jared_Andrews,,,,1
Excellent Actor And Actrees In This Film,,,,,,,,,,,ymyuseda,,,,1
Really good Movie,,,,,,,,,,,greenops-43606,,,,1
"Compelling story, engaging presentation",,,,,,,,,,,jg_1977,,,,1
Highly original and compelling thriller,,,,,,,,,,,Red-Barracuda,,,,1
Way better than expected!,,,,,,,,,,,SigTheMan,,,,1
"An excellent film, despite the distracting direction.",,,,,,,,,,,Sleepin_Dragon,,,,1
WOW,,,,,,,,,,,aaronlshickell,,,,1
Don't judge a movie by a crew member name,,,,,,,,,,,LeMoFa,,,,1
i loved the movie,,,,,,,,,,,PotassiumMan,,,,1
An Engaging Mystery In A Unique Format,,,,,,,,,,,zkonedog,,,,1
A crime procedural with some pioneering technique,,,,,,,,,,,Bachfeuer,,,,1
Much better than expected,,,,,,,,,,,gailmoir,,,,1
Unique and gripping,,,,,,,,,,,lewismillican,,,,1
intriguing,,,,,,,,,,,CitizenKaneAAAAA,,,,1
Social Media for Sherlock Holmes,,,,,,,,,,,BigPhatPastor,,,,1
Pretty Good Thriller,,,,,,,,,,,GaryKurt101,,,,1
Greaf suspense!,,,,,,,,,,,carpediemjc-843-811857,,,,1
Compelling,,,,,,,,,,,danestra,,,,1
An unique movie,,,,,,,,,,,z-07711,,,,1
Indie goes mainstream,,,,,,,,,,,ryanbartlett-870-746486,,,,1
Searching for a good movie...here it is,,,,,,,,,,,bryangary65,,,,1
"""Searching"" offers new thrills with solid storytelling behind it",,,,,,,,,,,Movie_Muse_Reviews,,,,1
"Clever, Moving, Gripping",,,,,,,,,,,hansolo111,,,,1
"Emotional, Real, Captivating",,,,,,,,,,,damius-38357,,,,1
A interesting way to tell an engrossing story,,,,,,,,,,,GoldenBlunderbuss,,,,1
Interesting film,,,,,,,,,,,Isabella765,,,,1
Every parent's nightmare,,,,,,,,,,,gbill-74877,,,,1
How much do we really know others? Even if they are our own flesh and blood?,,,,,,,,,,,neobateman,,,,1
this movie makes you crazy even though it only displays the monitor screen,,,,,,,,,,,erickfrds,,,,1
Way to go Aneesh !!,,,,,,,,,,,gopialok,,,,1
An almost perfect film,,,,,,,,,,,decarloj,,,,1
Innovative film making must be appreciated,,,,,,,,,,,sagar-swapna,,,,1
Smart movie,,,,,,,,,,,dochardikvyas,,,,1
Brilliant,,,,,,,,,,,ani2706,,,,1
Acting takes a back seat to technology here,,,,,,,,,,,jennaosn,,,,1
Innovative,,,,,,,,,,,chaitumhyd,,,,1
"Innovative, great story but may have reached a bit",,,,,,,,,,,tkmcc-08780,,,,1
"Gripping and fiercely intense, Searching is designed for the big screen.",,,,,,,,,,,rustonreviews,,,,1
Searching..... Its A Must Watch,,,,,,,,,,,JacobZoneTV,,,,1
Definitely intense,,,,,,,,,,,stephanie-jones21,,,,1
Should Be Mandatory for Dads,,,,,,,,,,,Paul-271,,,,1
"Brilliant acting, use of technology and riveting mystery",,,,,,,,,,,austin0731,,,,1
One of a Kind Thriller,,,,,,,,,,,kayladube,,,,1
Well Made Thriller,,,,,,,,,,,atulyab9,,,,1
Very good and so interested film,,,,,,,,,,,lalasae,,,,1
Really good Movie,,,,,,,,,,,nathhjn,,,,1
Renews how a story expands,,,,,,,,,,,yubo-73697,,,,1
Very Good First Feature Effort for Director,,,,,,,,,,,strumdatjag,,,,1
Incredibly ambitious and brilliantly executed: one of the best films of 2018 so far,,,,,,,,,,,rishis-28921,,,,1
"Great Suspense, Innovative Storytelling",,,,,,,,,,,selfedluke,,,,1
